Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.412 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: reached holdings evaluation handoff
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.412 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.412 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.412 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [CAPITAL_REBALANCE] stable_available=25058 aggressive_available=10739 stable_deployed=0 aggressive_deployed=0
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.412 INFO  com.kibot.macengine.runtime.MacEngineDaemon - SIDE_EFFECTS_GATE: isMaster=true forceMomentumSideEffects=false strategyCyclePresent=false runtimeLeasePresent=true
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.412 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.412 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.518 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 8ms
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.522 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 6ms
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.549 ERROR com.kibot.macengine.runtime.MacEngineDaemon - LIFECYCLE_BLOCK: Cannot start sync cycle because state is DEGRADED
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.552 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: entering dead zone after control-plane setup
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.552 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: checking local balance / peer state cache
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.682 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching local bot state snapshot
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.715 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching lease snapshot
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.806 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: refreshing devices / risk / equity / commands / weekly review
Apr 15 03:41:39 kibot-kotlin-1 kidax-engine[1117785]: 03:41:39.958 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: probing market reachability and orderbook cache
Apr 15 03:41:40 kibot-kotlin-1 kidax-engine[1117785]: 03:41:40.009 WARN  com.kibot.macengine.runtime.MacEngineDaemon - [EXCHANGE_PROBE] FAILED - Exchange unreachable (failure count: 10)
